steps	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	-29.584	-29.541	-29.454	-29.886	-29.799	-29.541	-29.713	-29.670	-29.843	-29.541	-29.713	-29.972	-29.670	-29.756	-29.756	-29.627	-29.368	-30.015	-29.886	-29.282	-29.411	-29.584	-29.670	-29.843	-29.886	-29.713	-29.670	-29.756	-29.843	-29.627	-29.713	-29.799	-29.411	-29.454	-29.670	-29.541	-29.454	-29.713	-29.756	-29.454	-29.886	-29.498	-29.799	-29.541	-29.713	-29.368	-30.101	-29.756	-29.713	-29.972
23	-29.541	-29.498	-29.498	-29.411	-29.799	-29.584	-29.670	-29.627	-29.799	-29.584	-29.756	-29.972	-29.670	-29.713	-29.756	-29.541	-29.325	-29.972	-29.799	-29.282	-29.411	-29.498	-29.627	-29.756	-29.843	-29.627	-29.584	-29.713	-29.799	-29.541	-29.627	-29.756	-29.368	-29.411	-29.541	-29.454	-29.454	-29.670	-29.713	-29.411	-29.756	-29.454	-29.756	-29.454	-29.670	-29.282	-30.015	-29.670	-29.670	-29.886
46	-30.360	-30.274	-31.826	-30.748	-29.368	-31.395	-31.266	-31.869	-31.999	-30.705	-30.533	-30.619	-30.015	-30.015	-30.576	-30.231	-29.886	-30.662	-31.136	-30.144	-29.325	-29.843	-30.619	-30.533	-29.886	-30.921	-30.533	-30.231	-30.360	-30.360	-30.533	-30.317	-29.843	-30.489	-30.231	-30.015	-30.403	-30.274	-30.274	-30.317	-30.921	-30.058	-30.317	-30.403	-30.878	-30.360	-30.921	-30.533	-29.972	-30.403
69	-28.549	-28.894	-28.376	-28.678	-27.557	-28.419	-28.980	-28.592	-28.635	-29.023	-28.894	-28.592	-28.419	-28.635	-28.894	-28.808	-28.506	-28.937	-28.764	-28.980	-28.894	-29.454	-29.023	-28.980	-29.153	-29.023	-28.937	-29.066	-28.851	-28.980	-29.282	-28.980	-29.239	-29.325	-28.937	-29.023	-29.886	-29.670	-29.498	-29.282	-28.937	-29.196	-29.972	-29.066	-29.282	-29.109	-29.282	-28.937	-29.498	-29.066
92	-29.498	-29.843	-30.834	-30.921	-31.352	-30.274	-30.576	-30.662	-30.748	-30.360	-30.274	-31.309	-30.489	-31.352	-31.352	-30.748	-30.231	-31.266	-31.007	-30.489	-30.705	-30.576	-30.360	-30.964	-30.619	-30.576	-30.533	-30.360	-30.705	-30.748	-30.921	-30.619	-30.231	-30.533	-30.878	-30.489	-29.843	-30.231	-31.223	-30.489	-31.136	-31.050	-30.188	-30.791	-31.223	-30.576	-30.964	-30.274	-29.886	-30.921
115	-29.282	-29.153	-32.085	-30.058	-28.419	-27.773	-28.549	-28.635	-28.635	-28.592	-28.980	-28.678	-28.937	-29.411	-29.066	-29.196	-29.066	-28.894	-28.808	-28.937	-29.239	-29.498	-29.368	-29.196	-29.584	-29.282	-29.239	-29.541	-29.239	-29.153	-29.929	-29.627	-29.325	-29.153	-29.454	-29.109	-31.999	-32.171	-29.799	-29.454	-29.454	-29.541	-32.646	-28.721	-29.109	-29.498	-29.498	-29.799	-32.559	-29.756
138	-29.325	-30.705	-28.549	-33.983	-30.446	-29.799	-29.972	-30.231	-30.360	-29.799	-30.015	-30.446	-30.489	-30.619	-30.705	-30.015	-30.274	-30.748	-30.231	-30.015	-30.274	-29.713	-30.317	-30.446	-30.101	-30.188	-30.231	-30.231	-30.231	-30.188	-29.843	-30.144	-29.929	-29.756	-30.188	-30.101	-28.549	-28.721	-30.144	-29.368	-30.360	-30.317	-29.066	-29.886	-30.446	-29.670	-30.403	-30.231	-28.851	-30.317
161	-28.333	-28.247	-27.514	-29.411	-29.411	-28.808	-29.670	-29.670	-29.627	-29.498	-29.670	-30.058	-30.058	-30.231	-30.015	-29.886	-29.972	-30.188	-29.670	-29.454	-30.188	-30.274	-29.756	-30.101	-30.403	-29.627	-30.015	-29.627	-30.144	-29.799	-29.627	-29.886	-30.144	-30.058	-29.972	-29.886	-26.824	-27.126	-30.360	-29.627	-29.799	-30.058	-27.341	-29.843	-30.317	-29.843	-30.058	-29.713	-27.169	-30.015
184	-29.972	-29.153	-30.834	-30.446	-29.627	-29.282	-29.153	-29.196	-29.584	-28.851	-29.325	-29.239	-29.196	-29.584	-29.325	-29.282	-29.066	-29.584	-29.153	-28.894	-29.368	-29.498	-29.411	-29.239	-29.411	-29.023	-29.325	-29.368	-29.454	-29.325	-29.756	-29.282	-29.282	-29.153	-29.325	-29.282	-30.576	-30.533	-29.670	-28.937	-29.498	-29.627	-30.317	-29.239	-29.584	-29.153	-29.627	-29.454	-30.834	-29.454
207	-30.231	-30.533	-29.239	-30.403	-30.576	-30.274	-30.403	-30.317	-30.360	-30.015	-30.188	-30.188	-30.144	-30.533	-30.231	-30.317	-29.886	-30.533	-30.101	-29.843	-29.929	-30.231	-30.317	-30.058	-30.058	-29.886	-30.101	-30.144	-30.188	-30.101	-30.403	-30.144	-30.058	-29.929	-30.015	-30.144	-29.843	-30.015	-30.360	-29.756	-30.360	-30.274	-30.144	-29.843	-30.188	-30.015	-30.360	-30.231	-29.843	-30.317
230			-29.153																																		-29.282	-29.411					-29.627						-29.411	
