steps	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	-3.105	-5.391	-6.038	0.863	-5.649	-5.865	-5.951	-5.865	-5.994	-5.908	-5.693	-5.649	-5.649	-5.520	-5.391	-5.261	-5.304	-5.089	-5.132	-5.218	-5.261	-5.132	-5.175	-5.046	-5.132	-5.003	-5.046	-5.003	-4.916	-4.830	-4.916	-4.959	-4.916	-5.089	-5.003	-4.830	-4.959	-4.916	-4.873	-4.830	-4.528	-4.787	-4.873	-4.787	-4.701	-4.873	-4.744	-4.873	-5.218	-4.873
23	-5.391	-7.288	-6.124	0.431	-7.935	-8.021	-7.547	-8.021	-8.108	-8.021	-7.892	-7.719	-7.763	-7.633	-7.374	-6.771	-7.461	-7.116	-7.202	-7.202	-7.331	-6.684	-7.245	-7.159	-7.116	-6.943	-7.159	-7.073	-6.943	-6.943	-6.555	-7.073	-6.986	-7.159	-7.116	-6.943	-5.132	-5.046	-7.116	-6.426	-6.598	-6.943	-5.003	-6.814	-7.073	-6.469	-6.900	-6.986	-5.391	-7.029
46	-14.102	-14.145	-14.749	-16.603	-13.929	-14.576	-15.180	-15.568	-15.568	-14.792	-14.706	-14.706	-14.792	-14.964	-15.137	-15.568	-14.706	-15.525	-16.086	-15.137	-14.663	-15.180	-15.309	-15.396	-14.749	-15.913	-15.396	-15.094	-15.266	-15.827	-15.913	-15.266	-15.309	-15.180	-15.568	-15.396	-16.431	-16.862	-15.266	-15.396	-16.733	-15.654	-16.646	-15.999	-16.431	-15.654	-16.172	-15.654	-15.698	-16.603
69	-13.584	-13.283	-11.601	-14.361	-12.894	-12.851	-13.110	-13.110	-12.765	-12.981	-13.153	-12.894	-12.938	-12.938	-12.808	-13.239	-13.239	-13.369	-13.541	-13.541	-13.671	-13.886	-13.283	-13.757	-13.800	-13.671	-13.843	-13.757	-13.886	-14.059	-13.929	-14.059	-14.274	-13.800	-13.843	-13.929	-12.765	-12.938	-14.016	-13.800	-14.059	-14.188	-12.894	-14.102	-14.145	-13.757	-14.231	-14.102	-12.765	-14.274
92	-11.256	-11.299	-11.213	-13.541	-12.032	-11.342	-11.385	-11.558	-11.342	-11.213	-11.256	-11.687	-11.514	-11.903	-11.773	-11.816	-11.687	-12.075	-12.334	-11.730	-11.946	-11.773	-11.385	-12.204	-11.687	-11.989	-11.816	-11.773	-12.075	-12.204	-11.989	-11.946	-11.903	-11.558	-12.118	-11.903	-11.342	-11.773	-11.989	-11.903	-12.506	-12.377	-11.514	-12.291	-12.334	-11.946	-12.248	-11.859	-11.471	-12.377
115	-13.283	-13.067	-16.129	-15.525	-13.412	-12.636	-13.153	-13.024	-12.593	-12.808	-12.938	-12.636	-12.981	-13.239	-12.981	-13.757	-13.196	-13.283	-13.584	-13.283	-13.541	-13.843	-13.584	-13.584	-13.541	-13.455	-13.412	-13.714	-13.498	-14.016	-14.447	-14.016	-14.016	-13.671	-14.016	-14.016	-17.423	-17.552	-14.145	-14.188	-14.533	-14.145	-17.768	-13.843	-13.929	-14.361	-14.231	-14.490	-17.983	-15.008
138	-15.309	-14.663	-15.309	-13.929	-14.102	-13.800	-14.404	-13.412	-13.412	-12.679	-12.938	-13.110	-13.239	-13.110	-13.283	-13.369	-12.679	-14.016	-13.757	-12.894	-12.679	-12.894	-13.412	-13.196	-12.420	-12.808	-12.981	-13.584	-13.412	-13.498	-13.671	-13.239	-13.067	-12.075	-12.808	-13.110	-15.568	-15.784	-12.765	-12.204	-13.455	-12.679	-16.129	-12.463	-13.283	-12.506	-12.808	-12.938	-15.180	-13.714
161	-17.897	-18.156	-19.320	-19.493	-17.811	-17.681	-18.458	-19.104	-18.803	-17.681	-18.371	-18.846	-18.846	-19.363	-18.932	-19.665	-19.018	-19.838	-19.665	-18.199	-19.708	-19.148	-18.759	-19.665	-18.975	-19.148	-18.932	-18.328	-19.018	-19.061	-18.673	-18.501	-19.320	-18.069	-18.975	-18.630	-15.870	-16.689	-18.716	-18.328	-19.838	-19.449	-16.603	-19.191	-19.191	-18.242	-19.579	-18.285	-16.129	-19.018
184	-17.509	-20.355	-17.552	-17.983	-19.493	-19.104	-19.536	-19.881	-19.191	-18.156	-18.803	-19.665	-19.363	-20.010	-19.148	-20.053	-19.406	-20.312	-19.665	-18.803	-20.484	-19.794	-18.932	-19.924	-19.536	-19.406	-19.320	-18.716	-19.104	-19.234	-18.932	-18.673	-19.751	-18.414	-19.148	-18.803	-16.776	-17.552	-18.889	-18.328	-20.355	-20.096	-17.250	-19.622	-19.838	-18.285	-19.751	-18.458	-16.776	-19.493
207	-14.145	-16.862	-15.741	-14.619	-16.733	-15.870	-16.344	-16.948	-16.646	-15.827	-16.129	-16.862	-16.733	-17.293	-16.646	-17.423	-16.646	-17.681	-17.336	-16.215	-17.207	-16.819	-16.646	-17.164	-16.517	-16.776	-16.689	-16.215	-16.431	-16.905	-16.474	-16.215	-16.862	-15.827	-16.646	-16.388	-14.404	-15.051	-16.301	-15.913	-17.940	-17.207	-15.008	-16.776	-16.991	-15.913	-17.164	-16.172	-14.490	-17.207
230			-18.458																																		-17.423	-17.897					-17.724						-17.423	
