steps	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	163.000	163.000	163.000	163.006	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000	163.000
23	165.664	165.651	164.359	165.315	165.655	165.653	165.507	165.657	165.657	165.658	165.655	165.655	165.655	165.653	165.653	165.505	165.651	165.650	165.650	165.652	165.652	165.503	165.650	165.649	165.650	165.649	165.648	165.649	165.648	165.647	165.500	165.648	165.648	165.649	165.647	165.647	164.351	164.350	165.646	165.499	165.644	165.646	164.349	165.646	165.646	165.501	165.646	165.646	164.350	165.646
46	200.292	200.283	195.050	199.190	200.284	200.286	199.745	200.285	200.284	200.283	200.284	200.282	200.283	200.282	200.282	199.742	200.282	200.281	200.280	200.281	200.283	199.741	200.281	200.281	200.283	200.283	200.283	200.283	200.283	200.282	199.742	200.283	200.284	200.284	200.284	200.284	195.046	195.046	200.284	199.742	200.283	200.284	195.046	200.284	200.284	199.742	200.283	200.284	195.045	200.284
69	259.357	259.354	253.384	258.153	259.356	259.354	258.757	259.355	259.357	259.356	259.355	259.356	259.356	259.356	259.356	258.758	259.355	259.356	259.358	259.356	259.355	258.757	259.356	259.356	259.354	259.356	259.356	259.356	259.356	259.357	258.759	259.357	259.354	259.356	259.356	259.355	253.386	253.386	259.355	258.759	259.357	259.357	253.388	259.357	259.356	258.759	259.358	259.356	253.388	259.357
92	319.046	319.042	313.090	317.860	319.043	319.042	318.452	319.042	319.042	319.039	319.041	319.041	319.040	319.041	319.040	318.452	319.041	319.042	319.043	319.041	319.041	318.451	319.042	319.040	319.040	319.041	319.042	319.042	319.042	319.041	318.452	319.042	319.043	319.041	319.042	319.042	313.087	313.086	319.041	318.451	319.042	319.042	313.087	319.042	319.043	318.453	319.042	319.041	313.088	319.040
115	357.577	357.575	355.488	357.187	357.575	357.574	357.385	357.575	357.572	357.574	357.574	357.573	357.573	357.574	357.573	357.383	357.575	357.572	357.573	357.573	357.574	357.382	357.573	357.574	357.575	357.573	357.573	357.573	357.573	357.574	357.384	357.574	357.574	357.573	357.573	357.573	355.490	355.490	357.574	357.383	357.573	357.574	355.489	357.574	357.573	357.383	357.574	357.574	355.490	357.575
138	362.411	362.407	362.342	362.397	362.408	362.407	362.401	362.406	362.407	362.406	362.407	362.407	362.407	362.408	362.407	362.400	362.407	362.406	362.406	362.406	362.407	362.400	362.405	362.407	362.406	362.405	362.406	362.405	362.406	362.406	362.399	362.406	362.406	362.405	362.406	362.406	362.339	362.340	362.406	362.399	362.405	362.405	362.340	362.406	362.407	362.399	362.406	362.405	362.340	362.406
161	362.793	362.794	362.786	362.790	362.797	362.795	362.794	362.796	362.797	362.796	362.796	362.795	362.795	362.795	362.796	362.793	362.795	362.795	362.796	362.796	362.793	362.793	362.796	362.795	362.794	362.795	362.795	362.796	362.795	362.796	362.796	362.795	362.793	362.795	362.795	362.795	362.785	362.785	362.795	362.795	362.795	362.794	362.785	362.794	362.793	362.794	362.794	362.796	362.785	362.796
184	362.931	362.925	362.919	362.928	362.924	362.924	362.923	362.923	362.923	362.923	362.923	362.922	362.923	362.923	362.923	362.922	362.923	362.922	362.923	362.923	362.922	362.922	362.923	362.923	362.923	362.923	362.923	362.923	362.923	362.923	362.923	362.923	362.922	362.923	362.923	362.923	362.918	362.918	362.923	362.922	362.922	362.922	362.918	362.922	362.922	362.922	362.921	362.922	362.918	362.922
207	362.972	362.974	362.964	362.971	362.973	362.974	362.973	362.974	362.973	362.973	362.973	362.973	362.973	362.974	362.973	362.973	362.973	362.973	362.973	362.973	362.974	362.973	362.973	362.973	362.973	362.973	362.973	362.973	362.973	362.973	362.972	362.973	362.973	362.972	362.972	362.972	362.961	362.961	362.972	362.971	362.973	362.972	362.961	362.972	362.972	362.972	362.972	362.972	362.961	362.972
230			362.986																																		362.983	362.983					362.982						362.982	
