steps	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	351.6953	352.54984	353.06863	345.98834	353.1907	353.46536	352.88553	352.73294	353.06863	352.6414	352.031	351.54272	351.08493	350.13885	349.77264	349.16226	349.28433	349.00967	348.5214	349.43692	349.13174	348.97916	348.91812	348.36877	348.79605	348.5214	348.3993	348.67398	348.18567	348.03308	347.97205	348.27722	348.30774	348.5519	347.8805	348.09412	348.5519	347.97205	348.12463	348.33826	347.17856	347.84998	348.0636	347.81946	347.7279	348.33826	347.51428	347.8805	348.33826	347.17856
23	351.78687	352.94656	353.09915	345.19485	353.58746	354.22833	353.3433	353.28226	353.77057	353.1907	352.39722	351.81738	351.3901	350.5356	350.2304	349.5285	349.8642	349.34537	349.0402	350.0473	349.77264	349.43692	349.3759	348.97916	349.49796	349.0402	348.91812	349.31485	348.8571	348.5214	348.46033	348.79605	348.97916	349.2233	348.61295	348.73502	348.61295	347.97205	348.76553	348.8876	347.7279	348.5214	348.0636	348.4298	348.36877	349.0707	348.12463	348.58243	348.30774	347.8805
46	351.8479	352.39722	351.29855	348.09412	348.79605	350.71872	350.383	350.2304	350.383	350.96286	350.29144	349.83368	349.74213	349.16226	349.28433	348.4298	349.34537	348.61295	348.03308	349.95575	349.46744	349.00967	349.16226	348.2162	349.2538	348.4298	348.4298	349.16226	348.5214	347.911	348.03308	348.61295	348.33826	349.10123	348.0636	348.5214	348.5519	347.75842	348.5214	348.67398	346.32404	347.81946	347.60583	347.7279	347.2701	348.3993	347.30063	348.2162	348.15515	346.5377
69	354.44196	353.49588	357.6159	353.6485	352.855	354.44196	353.55695	354.0147	355.41855	354.56406	353.9842	354.41144	353.89264	353.31277	354.6556	352.58035	353.06863	353.6485	353.46536	353.8011	352.76346	352.30566	353.70953	352.73294	352.39722	353.09915	352.8245	352.97708	353.3433	352.73294	352.94656	352.855	351.60376	353.52643	353.1907	352.73294	354.56406	353.9842	352.8245	353.28226	352.42773	352.33618	354.41144	353.28226	353.1907	353.6485	353.52643	353.09915	354.6556	352.73294
92	355.11337	353.03812	353.52643	353.89264	351.6953	353.31277	352.1836	352.12256	353.3433	352.70242	352.61087	351.81738	351.87842	350.99338	351.3596	350.6882	351.207	350.71872	350.32196	351.54272	350.59665	350.8713	351.8479	350.383	350.8408	350.90182	350.96286	351.3901	351.14597	350.50507	350.77975	350.8408	350.4135	351.60376	350.6882	350.8713	352.39722	351.11545	350.6882	351.23752	349.34537	350.13885	351.78687	350.5356	350.29144	351.60376	350.4135	351.29855	352.51932	349.83368
115	350.96286	350.01678	348.30774	349.74213	348.67398	350.4135	349.74213	349.7116	350.07782	350.29144	349.83368	349.74213	349.34537	348.82657	349.2233	348.27722	349.0707	348.5519	348.27722	349.2233	348.64346	348.8571	349.13174	348.4298	348.91812	348.61295	348.46033	348.91812	348.61295	348.2162	348.15515	348.67398	348.3993	349.2233	348.27722	348.4298	346.96494	346.59872	348.36877	348.79605	347.30063	347.8805	346.7513	348.2162	347.911	348.64346	347.94153	348.46033	346.93442	347.20908
138	346.65976	346.47662	347.36166	346.20197	346.4156	346.81235	346.23248	345.7442	345.7442	345.65265	345.50003	345.5916	345.16434	344.79813	344.67606	344.03516	344.64554	344.64554	343.69946	344.67606	344.61502	344.70657	344.554	344.3098	344.37085	344.40137	344.15723	344.21826	344.15723	343.39426	343.51636	343.9436	344.0962	344.18774	343.9436	344.03516	345.16434	344.61502	343.54688	343.9436	342.99753	343.66895	344.61502	343.63843	343.79102	343.97412	343.6079	343.79102	344.85916	343.05856
161	353.43484	351.08493	353.86212	351.87842	349.62006	350.383	350.13885	350.2304	350.59665	350.01678	349.74213	349.6811	349.46744	349.00967	349.28433	348.91812	349.00967	348.64346	348.58243	348.73502	348.46033	348.8876	349.16226	348.46033	348.8876	348.58243	348.33826	348.73502	348.36877	348.18567	348.3993	348.3993	348.0636	348.67398	348.15515	348.46033	349.74213	349.0707	348.3993	348.67398	347.57532	347.8805	349.0402	347.8805	347.97205	348.67398	347.75842	348.4298	349.34537	347.48373
184	354.47247	353.89264	352.33618	352.61087	352.031	352.94656	352.33618	352.33618	352.70242	352.0005	352.031	351.87842	351.60376	351.14597	351.207	350.99338	350.99338	350.99338	350.65768	350.90182	350.59665	350.74924	351.0239	350.50507	350.71872	350.74924	350.44403	350.5356	350.44403	350.07782	350.01678	350.4135	350.01678	350.62717	350.16937	350.383	349.8642	349.55902	350.16937	350.4135	349.80316	350.0473	349.77264	349.8642	349.83368	350.383	349.95575	350.32196	349.77264	349.3759
207	352.3667	352.94656	352.1836	351.3596	351.29855	352.27515	351.8479	351.87842	351.93945	351.45114	351.42062	351.54272	351.08493	350.8713	350.8713	350.50507	350.77975	350.5356	350.07782	350.4135	350.62717	350.4135	350.44403	350.29144	350.383	350.29144	349.98627	350.01678	349.95575	349.55902	349.31485	349.80316	349.6811	350.1999	349.77264	349.80316	349.2538	348.8571	349.74213	350.0473	349.3759	349.62006	349.0707	349.55902	349.49796	349.80316	349.55902	349.62006	349.10123	348.8571
230			354.22833																																		350.47455	349.74213					349.8642						350.13885	
