steps	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
0	0.002	0.002	-0.002	0.006	0.004	0.002	-0.005	0.005	-0.002	-0.007	-0.001	0	0	-0.004	0.001	-0.004	-0.006	0.001	0.002	-0.001	0	-0.001	-0.001	-0.005	0.001	-0.001	0.004	-0.004	0.006	-0.002	0.001	-0.002	0.002	-0.001	0.002	0.006	0.005	-0.001	-0.005	-0.005	0	0.001	0.003	-0.002	0.002	0.001	-0.002	0.002	-0.004	-0.001
23	108.231	107.99	69.255	100.754	108.174	108.208	104.366	108.311	108.285	108.315	108.083	108.198	108.13	108.136	108.205	104.157	108.158	108.141	108.147	108.2	108.185	104.237	108.147	108.11	108.151	108.103	108.1	108.157	108.127	108.115	104.182	108.118	108.103	108.148	108.127	108.136	68.929	68.853	108.076	104.167	107.99	108.092	68.802	108.085	108.114	104.195	108.054	108.111	68.903	108.073
46	501.937	501.918	462.88	494.706	501.882	501.893	497.959	501.797	501.815	501.718	501.853	501.772	501.841	501.878	501.877	498.059	501.914	501.91	501.897	501.875	501.956	498.137	501.99	502.007	502.012	502.087	502.072	502.063	502.104	502.07	498.205	502.103	502.186	502.13	502.148	502.129	462.881	462.886	502.157	498.241	502.142	502.188	462.883	502.199	502.194	498.272	502.186	502.182	462.811	502.217
69	595.973	596.063	594.492	595.762	596.038	596.058	595.953	596.081	596.062	596.014	596.069	596.054	596.054	596.032	595.994	595.861	596.042	596.002	596.093	596.087	596.089	595.903	595.994	596.06	596.011	596.001	596.017	596.067	596.073	596.099	596.009	596.135	596.018	596.007	596.018	595.991	594.526	594.51	595.979	595.918	596.005	596.101	594.664	596.06	595.904	595.924	596.073	596.028	594.613	596.029
92	595.87	595.838	598.047	597.217	596.089	595.948	596.451	596.002	596.045	595.807	595.922	595.92	595.888	595.958	595.946	596.589	595.947	596.046	596.135	595.943	595.942	596.444	595.949	595.876	595.802	595.953	595.949	595.959	596.058	595.987	596.633	596.026	595.989	595.931	595.947	595.938	597.811	597.818	595.863	596.439	596.063	595.979	597.879	596.088	596.125	596.696	596.1	595.929	597.893	595.977
115	230.468	230.467	270.088	238.36	230.529	230.44	234.492	230.469	230.217	230.397	230.385	230.345	230.31	230.371	230.285	234.294	230.385	230.19	230.209	230.248	230.32	234.232	230.272	230.31	230.377	230.248	230.306	230.29	230.287	230.267	234.272	230.301	230.313	230.251	230.271	230.296	270.189	270.133	230.338	234.214	230.271	230.322	270.07	230.31	230.28	234.251	230.282	230.28	270.182	230.278
138	6.764	6.581	6.593	6.456	6.601	6.607	6.618	6.562	6.62	6.628	6.646	6.623	6.641	6.648	6.654	6.614	6.655	6.594	6.62	6.609	6.671	6.688	6.596	6.711	6.664	6.572	6.661	6.633	6.676	6.654	6.599	6.677	6.703	6.669	6.679	6.653	6.574	6.642	6.715	6.606	6.616	6.616	6.686	6.735	6.713	6.639	6.676	6.628	6.6	6.675
161	1.174	1.441	2.111	1.367	1.456	1.432	1.466	1.502	1.548	1.457	1.489	1.454	1.448	1.446	1.457	1.506	1.383	1.522	1.507	1.493	1.396	1.406	1.524	1.415	1.356	1.459	1.425	1.48	1.44	1.467	1.548	1.443	1.384	1.446	1.414	1.45	2.122	2.143	1.392	1.53	1.51	1.425	2.117	1.375	1.367	1.466	1.428	1.485	2.135	1.455
184	0.862	0.707	1.277	0.867	0.727	0.677	0.732	0.686	0.726	0.726	0.685	0.669	0.707	0.656	0.707	0.738	0.669	0.672	0.723	0.674	0.596	0.692	0.746	0.653	0.666	0.686	0.71	0.717	0.703	0.704	0.745	0.688	0.639	0.677	0.682	0.707	1.121	1.097	0.653	0.718	0.662	0.634	1.097	0.632	0.656	0.712	0.639	0.674	1.105	0.665
207	0.701	0.804	0.48	0.722	0.73	0.763	0.824	0.764	0.703	0.754	0.755	0.729	0.768	0.755	0.744	0.767	0.783	0.714	0.738	0.768	0.789	0.814	0.779	0.769	0.821	0.773	0.809	0.79	0.814	0.769	0.785	0.813	0.817	0.807	0.82	0.806	0.406	0.415	0.824	0.794	0.781	0.827	0.38	0.83	0.838	0.832	0.838	0.812	0.376	0.835
230			0.057																																		0.091	0.094					0.075						0.073	
